ages,list_price,num_reviews,piece_count,review_difficulty,star_rating,country
11-16,353.73900000000015,45.0,1862.0,Challenging,3.5,FI
8-14,29.99,21.0,494.0,Average,4.5,US
4-7,30.4878,1.0,95.0,Very Easy,5.0,NL
4-7,45.59240000000001,2.0,191.0,Average,,AU
6-14,12.1878,2.0,73.0,Easy,5.0,IE
8-14,60.9878,8.0,631.0,Easy,4.8,AT
1½-3,19.99,5.0,23.0,Easy,5.0,US
8-14,60.9878,7.0,521.0,Average,4.3,FR
10+,12.1878,5.0,130.0,Easy,5.0,AT
7-14,17.4724,3.0,179.0,Easy,5.0,AU
5-12,14.6278,85.0,2.0,Very Easy,3.5,PT
6-12,19.5078,6.0,99.0,Very Easy,5.0,
8-14,52.1971,14.0,294.0,Easy,4.7,PL
9-14,116.87,9.0,830.0,Average,4.9,NO
8-14,85.3878,6.0,765.0,Average,4.2,PT
6-12,12.1878,3.0,86.0,Average,3.0,IE
10+,54.8878,3.0,1.0,Average,5.0,FI
2-5,97.5878,1.0,106.0,Easy,5.0,ES
6-12,109.7878,8.0,663.0,Average,4.6,LU
7-14,9.99,1.0,80.0,Very Easy,4.0,US
5-12,14.192899999999998,12.0,88.0,Easy,,NZ
10+,12.1878,5.0,143.0,Easy,5.0,IT
7-14,51.87000000000001,5.0,267.0,Easy,3.2,NO
7-12,19.4922,2.0,145.0,Average,5.0,CA
6-12,9.99,2.0,124.0,Easy,5.0,US
4-7,30.4878,2.0,116.0,Easy,4.5,DE
6-12,12.1878,1.0,109.0,Average,5.0,ES
5-12,7.0122,2.0,37.0,Very Easy,4.5,CA
10+,12.987000000000002,1.0,141.0,Very Easy,4.0,NO
8-14,121.9878,23.0,1047.0,Average,4.7,IT
7-14,24.3878,8.0,217.0,Easy,3.6,AT
6-12,24.3878,4.0,216.0,Easy,4.5,DE
5-12,12.1878,2.0,87.0,Easy,4.5,DE
5-12,14.99,1.0,104.0,Average,5.0,US
7-12,42.6878,4.0,345.0,Easy,4.8,NL
5-12,12.1878,12.0,88.0,Easy,4.9,DE
16+,1064.9929,198.0,7541.0,Challenging,4.8,NZ
7-12,31.897099999999995,8.0,356.0,Average,4.6,PL
7-14,24.3878,8.0,217.0,Easy,3.6,IT
7-14,43.4971,18.0,254.0,Easy,4.2,PL
8-12,40.751999999999995,8.0,339.0,Average,4.3,CZ
8-14,134.18779999999998,8.0,941.0,Average,4.6,PT
12-16,280.5878,75.0,3929.0,Challenging,4.6,NL
14+,179.3922,87.0,1703.0,Challenging,4.3,CA
6-12,27.986,10.0,223.0,Easy,4.4,GB
10+,12.1878,1.0,149.0,Very Easy,3.0,IE
8-14,48.7878,21.0,494.0,Average,4.5,IE
7-12,60.9878,3.0,426.0,Average,5.0,DE
7-14,47.952,12.0,366.0,Easy,4.8,CZ
2-5,121.9878,8.0,163.0,Easy,5.0,NL
2-5,24.3878,2.0,26.0,Average,5.0,IE
8-12,42.5929,8.0,339.0,Average,4.3,NZ
9-14,158.58780000000004,13.0,955.0,Average,3.7,NL
10+,24.3878,1.0,160.0,Very Easy,5.0,LU
4-7,12.1524,3.0,59.0,Easy,5.0,AU
7-12,24.3878,9.0,205.0,Average,4.8,PT
4-99,37.9924,11.0,484.0,Easy,4.6,AU
6-12,57.552,3.0,307.0,Easy,4.7,CZ
16+,119.95200000000001,134.0,1077.0,Average,4.7,CZ
7-12,36.5878,32.0,208.0,Easy,,ES
6-12,15.6,18.0,124.0,Easy,4.7,DN
4-99,6.0878000000000005,5.0,66.0,Easy,4.8,AT
6-12,21.9478,4.0,102.0,Very Easy,4.3,NL
6-12,19.5078,4.0,102.0,Very Easy,4.3,DE
5-12,18.2878,1.0,126.0,Easy,5.0,NL
8-14,60.9878,24.0,358.0,Easy,4.6,FR
8-14,27.986,12.0,86.0,Easy,4.5,GB
8-14,110.352,56.0,659.0,Average,,CZ
6-14,16.887,1.0,48.0,Very Easy,5.0,NO
9+,67.0878,23.0,496.0,Easy,3.3,BE
11-16,329.3878,45.0,1862.0,Challenging,3.5,NL
6-12,52.1971,3.0,326.0,Challenging,3.7,PL
7-12,24.3878,1.0,200.0,Average,5.0,NL
6-12,24.3878,4.0,192.0,Average,5.0,AT
7-12,45.37000000000001,25.0,241.0,Easy,,NO
8-14,70.1922,3.0,670.0,Average,5.0,CA
2-5,121.9878,1.0,106.0,Easy,5.0,FR
4-7,24.3878,2.0,100.0,Easy,5.0,NL
8-14,72.4971,8.0,747.0,Average,4.5,PL
12+,97.986,83.0,962.0,Average,4.5,GB
8+,67.0878,1.0,470.0,Average,5.0,
16+,189.9924,202.0,2469.0,Challenging,4.9,AU
7-12,30.0,27.0,149.0,Easy,,DN
10+,12.987000000000002,3.0,119.0,Easy,5.0,NO
4-7,38.986999999999995,2.0,116.0,Easy,4.5,NO
10+,28.3929,4.0,1.0,Challenging,3.5,NZ
5-12,12.0,2.0,79.0,Easy,3.5,DN
7-14,54.8878,2.0,156.0,Easy,4.5,FR
5-12,24.3878,6.0,190.0,Easy,3.8,IE
4-7,12.1878,3.0,62.0,Easy,4.7,IT
4-99,36.5878,11.0,484.0,Easy,4.6,ES
5-12,12.1878,4.0,76.0,Very Easy,5.0,LU
9-14,121.9878,4.0,1053.0,Average,4.0,FR
5-12,30.0,7.0,310.0,Easy,4.7,DN
4-99,10.387,46.0,1.0,Very Easy,,NO
10+,10.1322,5.0,89.0,Very Easy,4.4,CA
7-14,60.9878,6.0,400.0,Easy,4.3,AT
6-14,9.99,11.0,109.0,Easy,4.7,US
8-12,48.7878,4.0,422.0,Average,4.8,IE
9-14,95.6971,7.0,519.0,Average,4.7,PL
6-12,13.252199999999998,40.0,125.0,Very Easy,4.7,CA
6-12,19.4922,10.0,223.0,Easy,4.4,
10-21,115.88779999999998,6.0,1.0,Very Easy,4.3,ES
4-7,42.6878,1.0,178.0,Very Easy,,NL
8-14,50.6922,6.0,366.0,Average,4.0,CA
10+,12.1878,1.0,149.0,Very Easy,3.0,LU
7-14,21.899,19.0,181.0,Easy,4.9,FI
6-12,21.9478,14.0,97.0,Easy,,BE
12+,86.352,14.0,744.0,Challenging,4.6,CZ
4-7,30.4878,3.0,94.0,Average,4.7,DE
5-12,35.4929,2.0,222.0,Average,5.0,NZ
7-14,54.5922,7.0,375.0,Easy,3.7,CA
4-7,24.3878,2.0,100.0,Easy,5.0,PT
5-12,38.352,14.0,294.0,Average,4.2,CZ
10+,12.138,3.0,122.0,Very Easy,4.0,CH
6-12,12.1878,4.0,88.0,Easy,4.5,ES
8-14,36.5878,5.0,330.0,Average,4.8,PT
7-14,19.152,11.0,184.0,Easy,4.7,CZ
10+,12.1878,3.0,122.0,Very Easy,4.0,BE
6-14,13.986,1.0,68.0,Very Easy,4.0,GB
2-5,30.4878,4.0,24.0,Easy,4.8,DE
7-12,19.4922,8.0,222.0,Average,4.6,CA
7-12,36.5878,13.0,285.0,Easy,4.2,IT
7-14,26.0971,18.0,233.0,Easy,4.6,PL
9-14,144.3924,5.0,1426.0,Challenging,2.6,AU
4-7,12.0,3.0,59.0,Easy,5.0,DN
5-12,36.539,7.0,310.0,Easy,4.7,FI
10+,12.0,1.0,141.0,Very Easy,4.0,DN
4-7,48.7878,2.0,191.0,Average,5.0,BE
9-14,95.95200000000001,19.0,944.0,Average,4.2,CZ
4-7,12.1878,2.0,67.0,Very Easy,5.0,AT
2-5,116.87,1.0,106.0,Easy,,NO
7-14,29.99,2.0,118.0,Average,5.0,US
8+,119.88,2.0,1122.0,Easy,5.0,DN
10+,35.4929,13.0,708.0,Average,4.8,NZ
16+,219.53900000000002,202.0,2469.0,Challenging,,FI
9-14,102.0,39.0,863.0,Average,4.4,DN
7-12,42.638999999999996,19.0,157.0,Easy,2.6,FI
10+,15.799000000000001,1.0,141.0,Very Easy,4.0,FI
6-12,79.99,2.0,412.0,Easy,4.5,US
7-12,25.186,1.0,200.0,Average,,GB
9-14,93.9278,7.0,519.0,Average,4.7,ES
6-12,61.098,3.0,380.0,Average,4.3,CH
9-14,79.99,6.0,914.0,Average,4.8,US
6-12,15.799000000000001,4.0,88.0,Easy,4.5,FI
5-12,24.3878,7.0,174.0,Easy,4.4,IE
8+,97.5878,1.0,717.0,Challenging,5.0,DE
6-12,67.0878,3.0,380.0,Average,4.3,IT
10+,10.1322,9.0,109.0,Easy,4.8,
4+,3.0378000000000003,180.0,1.0,Very Easy,4.8,LU
2-5,22.386,2.0,39.0,Average,5.0,GB
7-12,23.951999999999998,1.0,225.0,Easy,4.0,CZ
6-12,30.4878,3.0,246.0,Easy,4.0,LU
5-12,12.987000000000002,2.0,87.0,Easy,4.5,NO
5+,4.8678,13.0,8.0,Very Easy,4.8,IT
6-12,17.7429,7.0,141.0,Easy,4.1,NZ
4-99,5.7971,5.0,66.0,Easy,4.8,PL
5-12,60.9878,2.0,303.0,Average,4.0,IT
12+,134.18779999999998,23.0,1032.0,Average,4.6,BE
9-14,73.1878,8.0,876.0,Average,5.0,IT
7-14,3.1122,8.0,10.0,Very Easy,3.4,CA
12+,71.298,7.0,597.0,Average,4.9,CH
6-12,60.9878,8.0,415.0,Challenging,4.4,
4-7,22.7924,2.0,108.0,Easy,4.5,AU
10+,24.3878,1.0,240.0,Easy,5.0,FR
8-14,73.1878,8.0,747.0,Average,,IE
7-12,49.6929,4.0,402.0,Average,5.0,NZ
7-14,21.9478,11.0,184.0,Easy,4.7,LU
10+,12.1878,5.0,143.0,Easy,5.0,PT
12+,42.6878,53.0,321.0,Average,4.6,PT
6-12,21.9478,15.0,108.0,Very Easy,4.1,NL
9-14,96.79799999999999,6.0,914.0,Average,4.8,CH
14+,341.5878,19.0,3444.0,Challenging,5.0,BE
7-14,29.99,10.0,312.0,Easy,4.0,US
11-16,179.99,19.0,2382.0,Average,4.9,US
6-12,95.95200000000001,5.0,701.0,Average,4.0,CZ
4-99,6.0878000000000005,4.0,55.0,Average,4.5,
16+,115.88779999999998,66.0,1167.0,Average,4.9,IT
5-12,12.1878,4.0,76.0,Very Easy,5.0,FR
10+,12.1878,1.0,149.0,Very Easy,3.0,NL
12+,99.99,77.0,734.0,Average,4.3,US
8-14,103.6878,71.0,717.0,Average,4.7,IE
14+,263.952,201.0,1996.0,Challenging,4.8,CZ
9-14,97.5878,19.0,944.0,Average,4.2,DE
7-14,12.1878,2.0,176.0,Easy,4.5,LU
1½-5,18.2878,15.0,1.0,Easy,4.0,AT
8-14,32.9278,12.0,86.0,Easy,4.5,IT
4-7,24.99,3.0,94.0,Average,4.7,US
12+,85.3878,14.0,744.0,Challenging,4.6,FR
5-8,60.9878,1.0,266.0,Challenging,5.0,IE
5-12,18.2878,1.0,127.0,Easy,,LU
16+,425.9929,88.0,4867.0,Challenging,4.9,NZ
6+,12.1878,1.0,80.0,Easy,5.0,ES
6-12,109.7878,8.0,663.0,Average,4.6,ES
10+,12.138,5.0,143.0,Easy,5.0,CH
12+,38.9922,14.0,386.0,Average,4.4,CA
6-12,19.5078,14.0,97.0,Easy,4.1,ES
6-12,24.99,1.0,229.0,Average,,US
1½-5,15.5922,15.0,1.0,Easy,4.0,CA
7-14,67.0878,5.0,425.0,Average,3.2,LU
7-12,36.5878,25.0,241.0,Easy,4.5,
6-12,35.598,7.0,289.0,Easy,4.1,CH
14+,280.5878,61.0,2028.0,Challenging,4.8,BE
14+,275.4971,52.0,2294.0,Average,4.5,
10+,12.1524,1.0,135.0,Very Easy,4.0,AU
6-12,77.9922,5.0,701.0,Average,4.0,CA
6-12,29.99,14.0,301.0,Easy,4.2,US
12+,97.5878,142.0,898.0,Average,3.8,LU
5-12,36.5878,7.0,310.0,Easy,4.7,DE
5-12,24.3878,6.0,190.0,Easy,3.8,LU
2-5,28.3929,2.0,26.0,Average,5.0,NZ
12+,60.9878,23.0,468.0,Average,4.7,NL
16+,365.9878,143.0,2704.0,Challenging,4.7,AT
2-5,60.9878,3.0,28.0,Easy,,FR
5-12,90.98700000000001,9.0,561.0,Easy,,NO
7-12,35.4929,7.0,229.0,Easy,4.6,NZ
